trial,C,penalty,class_weight,model,threshold,roc_auc,pr_auc,precision_under,recall_under,f1_under,f2_under,balanced_accuracy
16,3.0,l2,balanced,candidate,0.45,0.6805256302799141,0.19148107028124622,0.13202933985330073,0.7089715536105032,0.22260391618000688,0.37832788416627744,0.627600391206615
20,10.0,l2,balanced,candidate,0.45,0.6805111791299289,0.1914647816334057,0.13202933985330073,0.7089715536105032,0.22260391618000688,0.37832788416627744,0.627600391206615
19,10.0,l1,balanced,candidate,0.45,0.6805223671170142,0.1914770266206051,0.1319755600814664,0.7089715536105032,0.22252747252747251,0.37823955171608686,0.6274938722462401
4,0.01,l2,balanced,candidate,0.45,0.6816434966561903,0.19312364722209557,0.12990580847723704,0.7242888402625821,0.22029950083194674,0.378199268738574,0.6259918849800341
12,1.0,l2,balanced,candidate,0.45,0.6805727130588981,0.19150558741989301,0.13176087840585604,0.7089715536105032,0.2222222222222222,0.37788663400979705,0.6270677964047403
15,3.0,l1,balanced,candidate,0.45,0.680563389736327,0.19149254975098687,0.13176087840585604,0.7089715536105032,0.2222222222222222,0.37788663400979705,0.6270677964047403
11,1.0,l1,balanced,candidate,0.45,0.6806169988411109,0.1915624097473822,0.13108766233766234,0.7067833698030634,0.22115713796644984,0.37628145386766076,0.6253345907387707
5,0.1,l1,,candidate,0.1,0.6794681324172859,0.1937585095046039,0.1570493753718025,0.5776805251641138,0.2469597754911132,0.3761755485893417,0.6379028957307573
3,0.01,l1,balanced,candidate,0.45,0.671518834510092,0.18313491125837922,0.12415269354263289,0.7614879649890591,0.2134969325153374,0.3757287842798532,0.6192399347740354
8,0.1,l2,balanced,candidate,0.45,0.6809041571763013,0.19197315748576005,0.1306105944197331,0.7067833698030634,0.2204778156996587,0.37549407114624506,0.6243759200953962
7,0.1,l1,balanced,candidate,0.5,0.6809701196834919,0.19190175935924458,0.145801133436373,0.6192560175054704,0.23603002502085071,0.3754311488458477,0.6330195724510735
2,0.01,l2,,candidate,0.1,0.6802766975672655,0.19266798172836108,0.1520136131593874,0.5864332603938731,0.24144144144144145,0.37315510999721524,0.6339707844363911
6,0.1,l2,,candidate,0.1,0.6800231031933313,0.19296654500899194,0.1570552147239264,0.5601750547045952,0.2453282223287015,0.37015615962984383,0.6337304757971207
17,10.0,l1,,candidate,0.1,0.6793765307730246,0.19069711547770946,0.15733830845771143,0.5536105032822757,0.24503631961259079,0.3681606519208382,0.632472060333085
14,3.0,l2,,candidate,0.1,0.6793728014439961,0.1906666645002103,0.15733830845771143,0.5536105032822757,0.24503631961259079,0.3681606519208382,0.632472060333085
18,10.0,l2,,candidate,0.1,0.6793560194633681,0.19067910929187457,0.15724052206339342,0.5536105032822757,0.24491771539206195,0.36805353505964505,0.6323655413727101
10,1.0,l2,,candidate,0.1,0.6794478541906936,0.19113661643707264,0.15694789081885857,0.5536105032822757,0.24456259062348962,0.36773255813953487,0.6320459844915852
13,3.0,l1,,candidate,0.1,0.6794548466826219,0.19068269363815582,0.1564245810055866,0.5514223194748359,0.2437137330754352,0.3663855772026752,0.6309518925878653
9,1.0,l1,,candidate,0.1,0.6795863055308747,0.19101179412632208,0.15603715170278637,0.5514223194748359,0.24324324324324326,0.36595991867557365,0.6305258167463655
1,0.01,l1,,candidate,0.1,0.6496978311154703,0.1443834241698621,0.1375422773393461,0.5339168490153173,0.2187359928283281,0.3387007218212104,0.6039844151339901
