feature,rows_marked_unknown,unknown_rate,codes_treated_as_non_informative
AGEBAND,606,0.017648086667831558,"[-3, 997]"
SEX,638,0.01857999883510979,"[-5, -4, -3, 997]"
QWORK,1364,0.039722756130234724,"[-5, -4, -3, 997, 999]"
EDUCAT3,8239,0.2399382608189178,"[-5, -4, -3, 997, 999]"
FINHARD,1652,0.048109965635738834,"[-5, -4, -3, 997]"
CINTOFT,2029,0.05908905585648552,"[-5, -4, -3]"
gor,0,0.0,[]
rur11cat,0,0.0,[]
CHILDHH,69,0.002009435610693692,"[-6, -5, -4, -3, 997]"
COHAB,24434,0.7115731842273866,"[-5, -4, -3, 997]"
