CHERVIS12_NET,EDUCAT3,NSSEC_3,FINHARD,WELLB1,CINTOFT,CSMARTD_Count,WELLB4,TENHARM,LONELY,ETHNIC_NET,emdidc19,CULTSATIS,SEX,AGEBAND,participation_target
2,1,1,3,7,2,1,3,3,4,3,1,RoutingSkip,1,5,0
2,1,3,4,7,2,1,4,3,4,3,1,RoutingSkip,2,6,0
1,1,1,2,7,1,2,10,1,3,1,4,RoutingSkip,1,4,0
1,1,1,1,4,1,4,9,1,2,1,4,2,1,8,0
1,2,Unknown,3,8,1,1,3,3,4,1,4,2,2,1,0
1,2,Unknown,1,10,1,1,0,3,2,1,4,2,1,2,0
1,2,1,1,8,1,4,5,1,3,1,4,3,2,7,0
1,2,2,2,8,1,2,6,1,3,1,7,RoutingSkip,1,4,0
1,1,3,1,8,1,3,1,1,4,1,7,RoutingSkip,2,4,0
2,NoQualifications,Unknown,3,10,2,1,0,3,4,1,1,RoutingSkip,2,5,0
2,NoQualifications,Unknown,2,10,2,1,0,3,4,1,1,RoutingSkip,1,5,0
1,1,3,2,8,1,1,6,1,4,1,3,RoutingSkip,1,7,0
2,2,Unknown,4,6,1,1,3,2,2,4,8,RoutingSkip,2,1,0
1,2,Unknown,4,8,1,3,6,2,2,4,8,RoutingSkip,2,1,0
2,2,Unknown,4,3,2,4,5,1,3,1,6,3,2,10,1
1,NoQualifications,1,3,8,5,1,2,3,4,1,8,RoutingSkip,2,12,0
2,2,Unknown,2,4,2,2,10,1,2,1,6,2,1,4,0
1,NoQualifications,Unknown,3,4,1,1,8,3,2,1,3,2,1,5,0
1,2,3,2,3,2,1,1,1,3,1,5,RoutingSkip,2,4,0
1,NoQualifications,3,2,9,2,1,0,1,4,1,5,RoutingSkip,1,5,0
2,1,1,3,6,1,3,1,1,3,1,9,2,1,7,0
2,2,1,3,7,1,3,0,1,4,1,9,2,2,7,0
2,2,1,2,10,2,2,9,3,3,1,4,RoutingSkip,2,5,0
1,1,1,3,5,1,2,5,3,3,1,4,RoutingSkip,1,3,0
2,2,3,3,8,3,1,0,1,5,1,2,RoutingSkip,2,12,0
1,2,Unknown,4,6,2,0,6,2,2,1,2,RoutingSkip,1,5,0
2,2,1,3,7,2,1,8,1,4,1,4,RoutingSkip,1,10,0
1,1,Unknown,1,9,2,1,9,3,4,1,4,RoutingSkip,1,4,0
1,2,1,3,6,2,4,8,1,3,1,4,RoutingSkip,1,4,0
1,NoQualifications,1,2,7,1,2,7,1,3,1,4,RoutingSkip,1,4,0
1,2,1,2,8,1,3,2,1,4,1,10,2,2,7,0
1,1,1,2,8,1,3,2,1,4,1,10,2,1,6,0
2,NoQualifications,3,3,8,1,1,0,2,2,1,5,RoutingSkip,2,11,0
1,1,1,3,8,1,1,7,2,4,1,3,2,1,12,0
1,2,1,2,4,1,5,8,1,2,1,4,RoutingSkip,2,3,0
