AGEBAND,SEX,QWORK,EDUCAT3,FINHARD,CINTOFT,gor,rur11cat,CHILDHH,COHAB,under_engaged
35-39,Female,Working full-time,Degree or above,Just getting by,Many times a day,North West,Urban,1,Unknown,0
40-44,Male,Working part-time,Degree or above,Finding quite difficult,Many times a day,North West,Urban,1,Unknown,0
30-34,Female,Working full-time,Degree or above,Doing alright,Almost all the time,East Midlands,Urban,0,Unknown,0
50-54,Female,Working part-time,Degree or above,Living comfortably,Almost all the time,South West,Rural,0,Unknown,0
16-19,Male,Training/education,Other qualification,Just getting by,Almost all the time,South West,Rural,0,No,0
20-24,Female,Training/education,Other qualification,Living comfortably,Almost all the time,South West,Rural,0,No,0
45-49,Male,Working full-time,Other qualification,Living comfortably,Almost all the time,South West,Rural,0,Unknown,0
70-74,Male,Working part-time,Degree or above,Doing alright,Many times a day,South East,Urban,0,Unknown,0
45-49,Female,Unknown,Degree or above,Unknown,Many times a day,South East,Urban,0,Unknown,0
30-34,Female,Parental leave,Other qualification,Doing alright,Almost all the time,North East,Urban,2,Yes,0
30-34,Male,Working full-time,Degree or above,Living comfortably,Almost all the time,North East,Urban,2,Yes,0
35-39,Male,Working full-time,Unknown,Just getting by,Many times a day,Yorkshire and The Humber,Urban,2,Yes,0
35-39,Female,Working full-time,Unknown,Doing alright,Many times a day,Yorkshire and The Humber,Urban,2,Yes,0
45-49,Female,Working part-time,Degree or above,Doing alright,Almost all the time,London,Urban,1,Unknown,0
16-19,Male,Training/education,Other qualification,Finding quite difficult,Almost all the time,East of England,Rural,3,No,0
16-19,Male,Training/education,Other qualification,Finding quite difficult,Almost all the time,East of England,Rural,2,No,0
60-64,Male,Unknown,Other qualification,Finding quite difficult,Many times a day,North West,Urban,0,Unknown,1
70-74,Male,Retired,Unknown,Just getting by,Less often,South West,Rural,0,Unknown,0
30-34,Female,Unknown,Other qualification,Doing alright,Many times a day,Yorkshire and The Humber,Urban,3,Yes,0
35-39,Male,Working full-time,Other qualification,Doing alright,Almost all the time,Yorkshire and The Humber,Urban,3,Yes,0
35-39,Female,Unknown,Unknown,Just getting by,Almost all the time,South East,Urban,1,Unknown,0
30-34,Male,Working full-time,Other qualification,Doing alright,Many times a day,Yorkshire and The Humber,Rural,2,Yes,0
35-39,Female,Working part-time,Unknown,Doing alright,Many times a day,Yorkshire and The Humber,Rural,2,Yes,0
45-49,Female,Working full-time,Degree or above,Just getting by,Almost all the time,South West,Urban,1,Yes,0
45-49,Male,Working full-time,Other qualification,Just getting by,Almost all the time,South West,Urban,1,Yes,0
35-39,Male,Working full-time,Other qualification,Doing alright,Many times a day,East of England,Urban,0,Yes,0
