CARTS_NET	CHERVIS12_NET	EDUCAT3	NSSEC_3	FINHARD	WELLB1	CINTOFT	CSMARTD_Count	WELLB4	TENHARM	LONELY	ETHNIC_NET	emdidc19	CULTSATIS	SEX	AGEBAND
1	2	1	1	3	7	2	1	3	3	4	3	1	-3	1	5
1	2	1	3	4	7	2	1	4	3	4	3	1	-3	2	6
1	1	1	1	2	7	1	2	10	1	3	1	4	-3	1	4
1	1	1	1	1	4	1	4	9	1	2	1	4	2	1	8
1	1	2	-3	3	8	1	1	3	3	4	1	4	2	2	1
1	1	2	-3	1	10	1	1	0	3	2	1	4	2	1	2
1	1	2	1	1	8	1	4	5	1	3	1	4	3	2	7
1	1	1	1	2	8	2	1	997	1	4	997	9	-3	2	12
1	1	1	-3	997	7	2	1	997	1	5	997	9	-3	1	7
1	1	2	2	2	8	1	2	6	1	3	1	7	-3	1	4
1	1	1	3	1	8	1	3	1	1	4	1	7	-3	2	4
1	2	-3	-3	3	10	2	1	0	3	4	1	1	-3	2	5
1	2	-3	-3	2	10	2	1	0	3	4	1	1	-3	1	5
1	1	1	3	2	8	1	1	6	1	4	1	3	-3	1	7
1	2	2	-3	4	6	1	1	3	2	2	4	8	-3	2	1
1	1	2	-3	4	8	1	3	6	2	2	4	8	-3	2	1
2	2	2	-3	4	3	2	4	5	1	3	1	6	3	2	10
1	1	-3	1	3	8	5	1	2	3	4	1	8	-3	2	12
1	2	2	-3	2	4	2	2	10	1	2	1	6	2	1	4
1	2	2	1	2	4	1	2	10	1	997	3	6	3	2	5
1	1	-3	-3	3	4	1	1	8	3	2	1	3	2	1	5
1	1	2	3	2	3	2	1	1	1	3	1	5	-3	2	4
1	1	-3	3	2	9	2	1	0	1	4	1	5	-3	1	5
1	2	1	1	3	6	1	3	1	1	3	1	9	2	1	7
1	2	2	1	3	7	1	3	0	1	4	1	9	2	2	7
1	2	2	1	2	10	2	2	9	3	3	1	4	-3	2	5
1	1	1	1	3	5	1	2	5	3	3	1	4	-3	1	3
1	2	2	3	3	8	3	1	0	1	5	1	2	-3	2	12
1	1	2	-3	4	6	2	0	6	2	2	1	2	-3	1	5
1	2	2	1	3	7	2	1	8	1	4	1	4	-3	1	10
1	1	1	-3	1	9	2	1	9	3	4	1	4	-3	1	4
1	1	2	1	3	6	2	4	8	1	3	1	4	-3	1	4
1	1	-3	1	2	7	1	2	7	1	3	1	4	-3	1	4
1	1	2	1	2	8	1	3	2	1	4	1	10	2	2	7
1	1	1	1	2	8	1	3	2	1	4	1	10	2	1	6
1	2	-3	3	3	8	1	1	0	2	2	1	5	-3	2	11
1	1	1	1	3	8	1	1	7	2	4	1	3	2	1	12
1	1	2	1	2	4	1	5	8	1	2	1	4	-3	2	3
